Code,UKR
Hello,"Привіт, дякую що написали! Мене звати Debt Keeper Bot, радий знайомству!"
Greet,"Тепер ви можете додати мене в будь-який чат, і я вестиму в ньому облік боргів"
PersonalHelp,"Я не так багато вмію в нашому з вами маленькому чаті. Але мене можна додати в групу, і там можна буде додавати борги між користувачами, а я буду їх запам'ятовувати. А тут доступні команди /start, /help, /cancel"
GroupGreet,"Всім привіт! Я - Debt Keeper Bot, радий знайомству! Раджу всім додатися в список юзерів, щоб я міг надавати вам свої послуги. Для цього напишіть команду /add та дотримуйтеся інструкцій."
WelcomeBack,"Радий знову вас чути!"
GroupHelp,"Отже, що я вмію:\\n/add - додати нового користувача до групи\n/debt - додати новий борг\n/list - вивести список користувачів\n/all - вивести список боргів\n/resolve - розрахувати найпростіший варіант повернення заборгованостей\n/approve - прийняти запропонований мною варіант як поточну (команда /approve може бути виконана тільки після виконання операції /resolve. Також прохання бути обачними, адже виконання команди призводить до втрати історії попередніх заборгованостей, залишаються лише суми, які учасники мають повернути. Раджу порадитись з іншими учасниками перш ніж застосовувати цю команду)"
CantWriteFirst, "Я не маю права починати діалог з користувачем. Будь ласка, напишіть мені в приватні, щоб я міг додати вас"
ChangeName,"Бажаєте змінити ім'я, га , {}? Нічого, тут немає чого соромитись.\nЯке ваше нове прізвисько?" 
GetName,"Як вас звати?"
Cancel,"Відміна"
Solution,"Ось моє рішення:"
AllClear,"Все чисто, боргів не лишилось!"
NiceToMeet,"Приємно познайомитися, {}!"
ResolveSuccess,"Згідно з моїми розрахунками, всі вийшли в нуль. Можете примінити команду /approve для того, щоб очистити історію транзакцій."
NewDebt,"Додати новий борг"
DebtList,"Показати список боргів"
DebtQuestion,"Хтось знову заборгував?)"
UserList,"Учасники групи:\n"
TransactionList,"Список транзакцій:\n"
WhoPayed,"Хто платив?"
WrongName,"Ви вказали невірне ім'я, спробуйте ще раз."
Debtors,"За кого платили? (напишіть '/every' щоб додати всіх з чату)"
AtLeastOne,"Має бути принаймні один боржник. Введіть ім'я щоб продовдити або '/cancel' для скасування"
OK,"OK"
Sum,"Яка сума боргу?"
RepeatedName,"Цього боржника вже згадували, можливо ще хтось?"
AnyoneElse,"OK, ще хтось? (напишіть '/break' щоб закінчити перерахунок)"
PositiveNum,"Необхідно ввести додатнє число, спробуйте ще раз"
TransactionAdded, "Нову транзакцію додано!"